Weather,Time of Day (minutes),Number of People
sunny,2815,17
windy,2568,10
rainy,5800,79
snowy,2012,22
rainy,3340,70
snowy,135,66
sunny,1447,35
sunny,5681,32
snowy,3935,59
snowy,7016,53
sunny,207,7
snowy,3800,62
sunny,1593,21
windy,66,21
snowy,1459,75
snowy,4478,68
sunny,4413,20
rainy,8651,75
rainy,9522,109
rainy,7910,88
rainy,7159,88
windy,5538,27
sunny,3620,51
snowy,4982,37
windy,8992,49
rainy,5998,80
windy,8230,63
windy,2041,34
windy,122,38
snowy,6068,70
windy,1030,49
sunny,728,60
snowy,7030,70
sunny,1391,29
sunny,3741,22
snowy,4908,45
snowy,1059,62
windy,5562,51
windy,2168,33
windy,5894,26
snowy,928,65
windy,4516,46
sunny,3201,31
snowy,7104,74
windy,4389,36
snowy,840,76
rainy,3983,99
sunny,6480,15
rainy,5369,89
snowy,1333,62
sunny,6123,31
snowy,9861,46
sunny,3816,37
rainy,6547,49
windy,9867,62
windy,3903,45
sunny,4182,22
rainy,3940,70
windy,7659,42
windy,1902,35
windy,6421,54
rainy,7052,75
snowy,8121,53
rainy,7373,69
sunny,6414,25
rainy,9512,82
windy,4543,26
rainy,5732,83
windy,811,12
sunny,2630,11
windy,6099,5
windy,6410,45
sunny,5896,32
windy,9695,26
windy,9232,44
rainy,742,132
sunny,6511,12
sunny,7448,21
rainy,2306,79
rainy,3655,81
windy,7908,14
sunny,2374,22
sunny,2103,32
sunny,3580,49
rainy,914,80
snowy,5570,53
sunny,3366,46
sunny,6741,5
snowy,6147,59
rainy,4299,88
snowy,5965,73
windy,9863,41
windy,5069,31
rainy,4457,85
windy,548,32
snowy,5741,49
windy,9514,59
snowy,4754,50
windy,681,21
sunny,3478,10
rainy,8680,76
windy,4,46
sunny,5907,39
snowy,5724,47
sunny,1033,31
snowy,5674,73
sunny,1310,10
snowy,7481,51
rainy,5139,75
snowy,6539,50
rainy,8934,67
windy,6706,45
snowy,6791,72
snowy,3778,89
snowy,4040,64
sunny,435,22
rainy,5399,51
windy,2725,40
rainy,3093,62
rainy,3239,60
sunny,7701,30
sunny,5486,50
sunny,3438,27
rainy,49,62
rainy,3945,71
sunny,792,58
windy,9483,32
sunny,9603,38
snowy,2290,90
rainy,7908,72
snowy,6845,58
windy,9174,51
sunny,7777,32
snowy,5056,39
windy,7223,55
sunny,8172,34
sunny,7880,21
snowy,5155,60
snowy,10048,62
windy,697,54
snowy,7947,58
rainy,9932,78
sunny,4848,37
sunny,5884,46
sunny,7337,37
sunny,10070,35
windy,322,36
rainy,3992,88
sunny,2170,12
snowy,5430,50
windy,5740,56
windy,2056,35
snowy,2774,85
sunny,4567,34
rainy,1646,82
snowy,5035,51
windy,1021,43
sunny,9697,24
sunny,4728,19
snowy,2203,72
sunny,1705,47
windy,1652,59
sunny,3837,33
windy,3187,33
rainy,2824,77
snowy,5716,40
rainy,4139,56
windy,9749,19
windy,8619,33
snowy,6483,50
snowy,7700,35
rainy,1951,98
snowy,6057,58
windy,2740,77
windy,8868,25
snowy,9667,73
snowy,2673,74
snowy,6225,74
windy,4476,49
windy,6940,30
rainy,6577,90
snowy,7347,65
rainy,3574,109
rainy,4846,71
rainy,3080,79
rainy,3482,75
windy,9256,8
rainy,247,61
snowy,5148,76
sunny,7049,34
sunny,1726,24
rainy,1645,73
sunny,9208,26
windy,9608,38
sunny,4476,16
sunny,1461,31
windy,9992,49
windy,3463,38
windy,9819,46
windy,535,33
sunny,2785,24
rainy,5120,88
rainy,1841,105
sunny,3865,14
rainy,7498,100
sunny,1989,0
windy,6665,37
snowy,2459,76
rainy,9925,87
rainy,6651,71
rainy,2042,58
rainy,3160,65
windy,8825,55
sunny,4204,28
snowy,7195,60
rainy,2949,99
windy,616,52
sunny,6269,21
sunny,9632,25
windy,7437,33
windy,7740,44
windy,5038,57
rainy,9589,104
windy,3586,24
snowy,4445,24
windy,7609,40
sunny,1028,46
snowy,2884,79
sunny,703,6
snowy,7771,49
rainy,16,51
rainy,3171,110
sunny,7225,53
snowy,179,79
sunny,8299,32
sunny,9348,29
windy,29,22
rainy,2791,41
windy,4674,74
rainy,6799,87
windy,3172,52
sunny,9332,39
rainy,562,79
sunny,2831,31
windy,2345,28
windy,8022,52
sunny,40,23
windy,8275,67
windy,1210,27
snowy,1913,72
snowy,8503,48
windy,7621,33
rainy,2748,85
snowy,3521,60
sunny,7120,17
snowy,5416,59
windy,1559,19
windy,2411,29
windy,3282,53
rainy,3254,99
sunny,4145,27
sunny,8543,44
windy,7691,34
rainy,4193,78
windy,6191,35
sunny,2705,40
sunny,7610,20
windy,639,23
windy,6464,24
snowy,5404,65
sunny,37,39
windy,8849,40
rainy,6831,112
snowy,2482,57
snowy,7843,88
rainy,6076,84
windy,784,22
snowy,7148,55
rainy,293,90
windy,8221,34
windy,4527,44
sunny,7707,34
windy,240,30
snowy,9753,76
sunny,9977,13
rainy,6687,88
snowy,4962,85
sunny,7182,21
sunny,5178,51
snowy,8965,58
snowy,1297,53
windy,23,65
rainy,7062,97
sunny,5862,26
rainy,1885,89
sunny,5356,37
snowy,4845,43
sunny,1713,31
snowy,7113,39
sunny,1509,20
rainy,6017,84
sunny,2554,42
snowy,8190,73
snowy,4748,87
rainy,3478,68
rainy,8877,66
sunny,6440,13
windy,1717,25
rainy,7907,69
snowy,6413,60
rainy,1510,71
windy,1386,79
windy,6652,32
windy,5389,11
rainy,8101,78
sunny,9951,17
snowy,8408,73
sunny,7545,36
sunny,7048,25
sunny,8161,46
rainy,931,83
windy,3584,56
windy,2090,57
sunny,2014,6
snowy,3933,37
sunny,4554,25
sunny,4368,19
sunny,2558,46
windy,8278,48
rainy,1773,56
rainy,7609,76
rainy,1624,72
snowy,4369,39
snowy,546,61
snowy,5447,66
windy,2270,38
windy,7538,32
rainy,4,74
sunny,3869,40
sunny,6544,3
windy,3287,49
rainy,9565,64
windy,3309,32
rainy,5352,81
snowy,2096,57
snowy,656,64
sunny,5055,31
snowy,10010,63
snowy,8086,53
sunny,4799,10
snowy,432,39
windy,332,39
windy,4894,34
windy,1383,61
rainy,6053,67
sunny,7692,21
snowy,5856,49
snowy,4187,61
sunny,2100,38
windy,622,57
rainy,6398,76
snowy,4677,66
windy,6093,51
windy,7704,66
snowy,8576,43
sunny,2201,36
rainy,1724,74
rainy,3153,80
rainy,9009,78
rainy,7952,90
rainy,3260,59
windy,8948,22
rainy,8005,86
sunny,6438,45
sunny,1402,17
rainy,9060,93
sunny,3493,38
rainy,10067,71
snowy,5264,47
rainy,1311,55
windy,1248,10
windy,7709,14
snowy,901,46
windy,6168,40
sunny,2128,57
windy,9192,69
rainy,3031,68
snowy,1339,56
snowy,7448,54
rainy,5469,87
rainy,717,78
windy,2891,27
windy,8597,60
rainy,7994,93
snowy,768,84
windy,5210,22
windy,4819,26
windy,4721,45
snowy,857,58
windy,479,54
rainy,2687,98
sunny,2640,38
sunny,3148,29
sunny,9802,28
windy,1385,17
windy,4270,44
sunny,228,33
rainy,1469,64
rainy,9350,99
windy,7629,28
windy,6978,36
sunny,7826,45
sunny,5502,41
windy,9522,21
sunny,3857,34
sunny,4093,41
windy,1384,33
windy,1029,55
rainy,4887,69
sunny,538,20
snowy,213,61
snowy,4215,39
windy,9216,72
sunny,1844,39
rainy,3770,75
sunny,1307,50
snowy,6276,40
snowy,8145,90
snowy,6300,46
windy,1003,34
windy,1475,59
rainy,7809,103
windy,401,46
windy,8078,37
sunny,5247,0
windy,5682,53
windy,5066,39
windy,2523,34
snowy,2495,66
windy,4638,15
windy,6749,30
rainy,7606,101
snowy,8054,46
rainy,2207,103
sunny,5531,27
rainy,1526,71
windy,4951,67
windy,4742,73
windy,7648,37
snowy,9930,77
sunny,8536,48
rainy,1265,85
rainy,7238,70
windy,9286,54
rainy,3420,75
snowy,5958,68
snowy,6680,60
rainy,4726,94
rainy,7739,72
rainy,2874,68
rainy,5761,93
rainy,4144,96
snowy,7678,61
rainy,8460,76
sunny,6306,12
sunny,8702,30
sunny,4837,14
sunny,4729,36
snowy,7753,71
snowy,9404,42
windy,6102,31
rainy,8181,87
sunny,9768,28
windy,1212,41
rainy,7645,108
snowy,3890,49
snowy,1346,48
snowy,4994,63
rainy,9118,61
snowy,7219,76
rainy,7205,103
snowy,8972,96
windy,3063,39
sunny,2856,31
snowy,8303,47
snowy,4395,36
windy,6102,41
snowy,8316,49
sunny,3980,40
sunny,6861,54
sunny,2131,21
snowy,2462,56
windy,9500,48
sunny,4337,34
snowy,2578,42
sunny,2536,20
sunny,5211,37
snowy,468,59
snowy,9074,47
snowy,6665,84
windy,9648,56
snowy,5082,41
windy,4343,23
windy,1263,25
sunny,3265,30
rainy,334,77
rainy,1319,93
rainy,2701,78
sunny,5044,33
rainy,7471,81
sunny,2970,59
snowy,9770,78
sunny,2046,14
snowy,1372,35
rainy,1948,75
snowy,4408,64
windy,3842,52
windy,4387,44
rainy,983,101
snowy,9019,63
windy,3500,52
snowy,5106,93
windy,941,14
snowy,1982,62
windy,8255,43
snowy,6448,51
snowy,6626,48
rainy,9816,93
rainy,6962,69
snowy,4275,41
snowy,6466,52
sunny,5237,31
windy,681,27
snowy,2471,81
snowy,4963,33
windy,5178,30
sunny,4924,23
rainy,5701,98
sunny,9431,40
rainy,9611,108
sunny,8812,17
snowy,913,52
sunny,2765,38
sunny,8299,38
windy,9569,42
windy,2046,52
windy,6165,50
windy,1778,47
windy,9619,40
sunny,7072,47
rainy,3491,72
windy,10000,48
rainy,9283,45
rainy,8992,85
snowy,675,61
snowy,8768,71
rainy,9365,65
windy,2354,41
windy,4923,32
rainy,5202,63
rainy,1797,56
rainy,6793,86
snowy,3231,69
windy,8562,38
sunny,5204,23
sunny,1006,35
sunny,6124,20
windy,3424,36
windy,2514,34
snowy,8350,50
sunny,9615,23
sunny,1242,8
sunny,2423,23
sunny,6316,0
windy,3036,55
sunny,5341,25
sunny,4650,15
sunny,4053,23
windy,9386,34
rainy,8502,84
rainy,4322,84
windy,668,15
windy,2016,32
snowy,5004,65
windy,3536,26
snowy,4313,66
windy,1016,22
rainy,9630,90
rainy,7233,97
windy,6639,19
sunny,3167,38
rainy,170,100
rainy,3137,98
sunny,7565,55
rainy,6098,76
rainy,7892,74
snowy,7449,72
windy,8280,38
windy,7088,17
snowy,9306,64
windy,5418,22
snowy,7231,49
snowy,2377,50
sunny,4381,38
sunny,7026,44
snowy,9385,75
snowy,734,82
snowy,8555,17
windy,7157,36
snowy,5328,65
windy,3314,42
sunny,1215,47
sunny,2733,29
windy,6108,50
rainy,8353,105
windy,3448,43
rainy,9670,80
windy,9594,43
windy,1762,45
rainy,4841,93
snowy,5814,67
snowy,7859,58
windy,7450,45
snowy,2315,80
sunny,3503,9
rainy,9209,88
rainy,1959,63
windy,9050,16
sunny,4250,5
windy,2980,40
rainy,5545,87
snowy,6862,41
snowy,5894,35
sunny,1352,40
sunny,8282,18
rainy,6495,102
snowy,690,34
snowy,2692,60
rainy,8679,75
rainy,3102,96
windy,360,31
windy,4675,18
windy,8481,40
rainy,2115,98
rainy,4647,71
rainy,2118,89
rainy,8202,60
windy,4961,10
snowy,6313,75
sunny,6686,46
windy,8965,23
sunny,10031,15
rainy,9326,63
sunny,1152,93
rainy,963,109
windy,6416,15
sunny,5875,32
rainy,1311,104
sunny,4333,27
snowy,9578,70
windy,1650,30
snowy,7944,60
rainy,9152,52
snowy,6892,46
snowy,46,50
snowy,7244,72
sunny,3438,10
snowy,2597,47
snowy,3352,60
sunny,7013,21
snowy,5783,61
windy,7393,34
sunny,6139,0
windy,2788,35
windy,3544,29
snowy,241,45
snowy,930,98
rainy,1449,50
sunny,8648,34
windy,7412,55
snowy,8389,88
windy,6316,45
rainy,5337,52
rainy,8138,70
sunny,8292,35
windy,4739,12
rainy,9904,71
windy,2632,41
sunny,9708,18
windy,416,42
sunny,9735,35
snowy,1545,47
rainy,1385,80
snowy,1044,87
windy,1620,18
sunny,1625,14
rainy,9281,112
sunny,1445,37
snowy,6573,62
rainy,9450,79
rainy,627,79
rainy,7084,73
rainy,5588,88
rainy,8283,72
sunny,8570,28
snowy,8324,46
sunny,8688,28
rainy,2607,71
sunny,3729,27
sunny,9636,31
windy,1825,46
snowy,8969,48
windy,3089,45
windy,7887,52
sunny,1937,28
snowy,652,38
rainy,9407,82
windy,1516,44
sunny,6497,25
snowy,7794,65
sunny,6822,6
sunny,7132,20
rainy,6069,81
sunny,7951,58
windy,3103,34
sunny,5276,34
sunny,1270,14
windy,4047,41
windy,7974,22
windy,975,35
sunny,400,50
windy,2077,32
rainy,7636,93
windy,4494,51
sunny,505,57
sunny,1201,25
snowy,1855,71
windy,5093,44
sunny,5874,22
sunny,8502,36
rainy,3905,72
snowy,391,77
sunny,3178,32
sunny,3862,41
sunny,5898,49
sunny,5979,23
sunny,1954,44
sunny,8480,46
windy,5289,49
windy,5861,36
windy,4912,55
snowy,4681,61
rainy,578,70
rainy,3095,89
windy,2003,40
rainy,8280,87
windy,3018,39
rainy,1052,74
sunny,1080,89
windy,2003,44
snowy,9988,54
sunny,7067,35
windy,6192,56
windy,9283,53
snowy,9601,73
windy,5740,27
windy,8779,48
rainy,3296,70
sunny,5138,41
snowy,9220,53
windy,3210,21
rainy,88,118
snowy,4806,37
windy,2489,58
snowy,6194,92
snowy,1850,63
rainy,732,110
windy,9812,55
snowy,5867,55
windy,4425,1
snowy,2148,61
windy,879,56
windy,7186,29
sunny,140,5
rainy,8615,87
snowy,5513,27
sunny,581,30
sunny,1366,12
sunny,3047,12
rainy,6016,90
windy,1852,35
snowy,7703,85
rainy,1799,66
windy,589,51
sunny,8831,13
windy,1273,62
windy,2592,30
windy,9866,0
windy,2937,40
snowy,4444,82
sunny,3635,14
snowy,8929,70
rainy,4213,86
sunny,9178,22
sunny,3596,59
rainy,3967,90
sunny,9689,49
rainy,5420,78
rainy,8314,94
windy,78,26
rainy,9470,72
snowy,3919,63
windy,7549,47
sunny,1296,54
snowy,5473,59
snowy,9129,39
windy,415,49
snowy,4934,35
windy,6696,29
rainy,5656,63
rainy,145,103
snowy,5786,63
rainy,244,89
windy,6499,62
sunny,3825,52
windy,9175,41
windy,5211,32
windy,4552,44
windy,3381,57
sunny,3275,26
snowy,6581,81
windy,1596,39
sunny,8384,0
snowy,3551,71
rainy,6750,62
windy,8195,51
sunny,5162,41
windy,7153,34
rainy,2478,41
sunny,1107,69
sunny,28,25
snowy,1867,56
snowy,5197,65
sunny,1878,33
sunny,1930,37
rainy,2976,72
snowy,4178,59
rainy,9798,91
sunny,6671,28
snowy,6740,49
windy,4888,41
snowy,2217,66
sunny,2981,31
windy,6788,68
rainy,7369,86
sunny,8757,44
rainy,5244,93
snowy,1897,49
windy,299,56
sunny,4220,20
windy,1686,35
windy,3327,47
rainy,1659,65
windy,5905,29
rainy,4228,94
windy,5100,17
rainy,9107,78
snowy,5361,50
snowy,3998,61
sunny,8185,62
sunny,4594,52
windy,9366,38
rainy,8414,86
sunny,9989,23
sunny,3949,57
windy,5290,44
rainy,7503,72
rainy,10074,82
sunny,7625,26
windy,1076,44
snowy,9242,62
sunny,2758,59
snowy,738,113
snowy,555,37
sunny,4795,36
snowy,9251,38
sunny,9096,49
snowy,9986,47
windy,4431,57
windy,7803,38
windy,4829,31
rainy,8931,82
sunny,4570,55
sunny,9113,23
sunny,2135,24
sunny,8274,47
sunny,581,26
sunny,2044,41
snowy,6,79
windy,7043,40
snowy,4994,59
snowy,48,36
windy,4100,69
rainy,6151,76
rainy,7863,81
snowy,7890,37
rainy,2722,56
sunny,714,2
windy,6551,49
rainy,2643,108
snowy,8297,79
rainy,4669,57
windy,6178,49
sunny,7322,39
sunny,3600,14
rainy,7199,110
snowy,6654,58
snowy,8088,70
windy,8610,56
rainy,4449,84
sunny,9645,31
rainy,1151,136
snowy,415,67
rainy,7709,81
windy,5559,35
rainy,4606,73
windy,7943,32
windy,3493,28
windy,9563,44
snowy,1657,57
snowy,2163,50
windy,2089,55
snowy,4060,76
windy,9282,43
sunny,8555,45
rainy,9867,89
rainy,5217,59
sunny,6637,25
rainy,3151,79
sunny,9549,22
sunny,15,48
rainy,5975,77
snowy,8818,57
windy,3312,37
windy,6842,11
snowy,2043,49
rainy,6882,96
snowy,3413,67
rainy,665,65
sunny,9318,34
windy,194,31
windy,2909,70
snowy,7190,39
sunny,8942,22
snowy,8051,36
windy,1722,40
sunny,8547,49
sunny,7710,33
rainy,6097,103
rainy,8268,50
sunny,7660,23
sunny,138,29
rainy,2158,69
sunny,5596,10
windy,8616,49
sunny,561,38
sunny,6505,13
rainy,1523,69
sunny,4968,38
windy,5529,38
rainy,208,91
windy,3408,42
rainy,9792,82
sunny,10067,52
sunny,9414,8
sunny,7711,25
rainy,4744,61
snowy,2893,58
sunny,6113,4
rainy,3596,67
windy,8035,49
rainy,2349,98
sunny,4305,16
sunny,4126,18
rainy,8274,87
rainy,8341,73
windy,527,22
snowy,7988,104
snowy,9565,79
sunny,2406,0
rainy,4128,90
sunny,6237,30
windy,5211,26
sunny,8692,20
snowy,1039,59
sunny,2548,11
snowy,9098,75
rainy,2813,57
sunny,4584,22
sunny,9636,35
snowy,2895,47
sunny,8938,35
snowy,9221,74
sunny,3672,37
rainy,4487,64
sunny,5064,29
rainy,9133,81
rainy,348,74
snowy,8360,37
rainy,430,94
windy,4305,58
windy,811,23
sunny,9124,42
windy,8657,48
windy,7167,54
windy,6870,42
sunny,3592,28
windy,8504,20
rainy,6300,86
rainy,7894,88
sunny,2247,15
snowy,4960,53
windy,7509,61
windy,8396,29
sunny,7058,28
rainy,1310,66
snowy,6561,76
rainy,7159,90
windy,497,47
rainy,689,80
sunny,10007,40
rainy,8134,64
sunny,435,42
sunny,8409,29
windy,6085,40
windy,7746,25
snowy,3975,66
sunny,5812,15
windy,7539,37
snowy,1466,46
windy,6804,33
snowy,6410,40
snowy,1185,93
sunny,1932,62
sunny,2124,40
snowy,1011,44
snowy,9185,35
rainy,4207,79
snowy,763,94
windy,818,53
snowy,9857,29
rainy,2934,83
rainy,1504,101
sunny,9912,0
sunny,1938,20
snowy,9549,61
snowy,7239,47
sunny,5177,23
sunny,7573,36
snowy,4745,54
snowy,1730,38
snowy,1876,41
sunny,442,25
windy,5594,16
rainy,4109,90
snowy,2011,59
snowy,2154,40
sunny,9405,40
snowy,8973,47
snowy,8878,57
sunny,7708,15
sunny,3621,29
snowy,1810,69
snowy,3740,68
snowy,353,54
windy,2398,33
windy,7435,36
rainy,6857,51
sunny,6323,15
sunny,694,0
sunny,8715,34
sunny,7858,14
rainy,3878,76
rainy,4066,100
snowy,290,84
windy,6921,35
rainy,8469,94
rainy,4439,79
windy,6861,39
snowy,1560,47
snowy,6698,26
rainy,2428,77
snowy,429,57
windy,5374,61
rainy,6432,81
windy,9788,6
sunny,4788,26
rainy,8896,76
sunny,4172,43
windy,5583,2
rainy,7231,83
windy,6884,47
sunny,6086,27
windy,4971,53
windy,2259,28
rainy,8290,62
rainy,4338,82
rainy,5770,76
snowy,1677,49
windy,2344,23
snowy,6159,44
sunny,4714,7
sunny,4252,15
windy,7569,26
sunny,995,29
windy,6149,50
snowy,6301,34
windy,941,79
windy,3422,10
snowy,1248,73
snowy,868,82
rainy,2186,81
windy,6271,42
sunny,9986,15
windy,7300,26
snowy,10037,65
rainy,5994,47
rainy,5851,86
sunny,6951,47
sunny,9027,19
snowy,5119,73
windy,5054,32
sunny,3862,3
snowy,753,98
windy,536,71
windy,3227,21
windy,7509,23
snowy,2600,43
rainy,4738,87
rainy,4816,65
sunny,9497,40
rainy,4587,80
windy,6999,34
snowy,2454,81
sunny,620,58
sunny,9915,28
rainy,7504,73
snowy,4337,44
windy,1478,32
rainy,257,93
sunny,5813,22
windy,8561,20
rainy,3211,103
snowy,6793,73
snowy,2241,40
sunny,2654,30
windy,1005,25
snowy,9795,49
snowy,5989,68
windy,6112,31
rainy,2767,89
snowy,392,38
sunny,8673,10
sunny,5753,72
snowy,1409,56
windy,247,58
sunny,1502,19
rainy,4968,76
rainy,947,100
snowy,7683,63
snowy,8747,72
snowy,2770,94
snowy,6627,57
sunny,2422,26
windy,1499,17
snowy,1323,42
snowy,4685,71
sunny,8026,49
windy,5092,28
snowy,5188,49
rainy,7158,57
windy,5142,47
sunny,9721,4
rainy,7887,87
rainy,3235,63
windy,1148,98
rainy,2317,73
snowy,202,41
rainy,3589,76
snowy,1496,61
windy,5124,38
sunny,1090,77
snowy,1379,85
snowy,4582,42
snowy,5477,36
windy,7016,34
rainy,3809,87
windy,2297,33
rainy,4139,62
windy,3649,22
windy,3512,42
snowy,5333,50
windy,4680,24
rainy,1750,97
windy,7559,29
windy,8627,60
snowy,3021,56
snowy,5675,33
snowy,273,46
rainy,2728,77
snowy,2356,80
snowy,5246,52
rainy,6390,84
sunny,3395,32
snowy,563,63
snowy,7549,63
rainy,1208,94
windy,2518,34
sunny,1598,33
sunny,4105,3
snowy,2213,66
windy,7727,33
rainy,7834,76
windy,5317,43
snowy,4995,78
windy,4102,54
snowy,4326,56
sunny,9717,56
windy,4102,56
snowy,4491,51
windy,7460,43
snowy,4462,71
snowy,6940,34
rainy,4655,85
windy,9268,36
sunny,8766,35
rainy,4021,105
snowy,6575,58
snowy,6363,50
snowy,7622,46
rainy,4760,86
rainy,8471,119
sunny,1551,30
rainy,9324,66
snowy,7232,49
sunny,7201,22
rainy,7225,70
rainy,1694,82
sunny,2082,30
sunny,3208,38
windy,6745,16
snowy,3570,65
windy,6050,42
windy,122,37
rainy,6714,102
rainy,3041,87
rainy,1814,101
windy,7541,44
windy,9391,60
windy,3284,47
windy,5097,27
rainy,4432,81
sunny,9433,33
windy,1724,23
windy,1214,42
snowy,9846,65
rainy,6520,65
rainy,5314,79
rainy,9289,93
snowy,3768,74
snowy,1863,87
windy,3370,40
rainy,9790,76
snowy,3568,49
windy,6059,57
sunny,7425,29
sunny,8883,34
windy,7417,49
sunny,4166,13
windy,5705,30
snowy,9397,67
rainy,6024,93
snowy,360,96
sunny,618,32
windy,6417,33
rainy,9680,55
windy,2525,37
snowy,3126,55
snowy,2077,55
snowy,6368,68
windy,6042,30
windy,9904,37
sunny,3486,23
windy,5466,80
rainy,3349,42
sunny,6762,31
rainy,9291,77
snowy,9169,29
windy,464,18
sunny,6880,13
windy,771,74
windy,7269,25
sunny,6479,12
sunny,9642,5
windy,9715,60
rainy,2085,99
snowy,74,82
snowy,1535,44
sunny,911,15
snowy,1390,58
rainy,2327,92
rainy,5289,99
rainy,1053,97
snowy,2427,69
snowy,7050,80
sunny,6389,36
rainy,5898,63
sunny,8224,21
snowy,1512,61
sunny,5655,29
rainy,3198,92
rainy,5054,73
windy,4146,42
rainy,9997,70
windy,7746,31
snowy,1073,85
rainy,9363,110
sunny,5824,47
windy,9778,45
windy,7804,43
sunny,7701,34
snowy,2581,62
rainy,3116,82
rainy,3594,99
windy,1737,61
sunny,7535,40
snowy,5110,48
rainy,9227,57
snowy,6204,54
rainy,7290,69
windy,9224,41
windy,3373,44
snowy,156,66
windy,4607,40
snowy,5726,58
snowy,1691,63
windy,7908,29
snowy,1611,42
rainy,7304,57
windy,8246,26
sunny,8507,24
rainy,8132,96
snowy,1539,46
rainy,1609,89
snowy,8438,66
windy,7848,69
snowy,3805,52
snowy,160,54
snowy,7151,37
rainy,4057,69
snowy,9333,42
windy,9217,73
snowy,6782,67
sunny,351,51
sunny,3119,7
rainy,518,52
windy,3336,32
sunny,5099,19
sunny,4427,50
rainy,7415,100
windy,4905,20
windy,2034,40
windy,9708,39
sunny,165,50
sunny,939,47
snowy,875,40
windy,365,65
sunny,2113,18
snowy,2037,90
windy,8941,51
windy,9617,72
snowy,4456,35
snowy,7487,60
rainy,5929,100
sunny,6194,18
snowy,3077,60
windy,3722,53
sunny,1892,14
snowy,2169,70
windy,5585,51
sunny,8435,28
sunny,9334,32
rainy,7620,63
sunny,6437,36
rainy,621,64
rainy,5418,49
windy,4010,29
sunny,6025,37
windy,2549,31
snowy,6843,63
sunny,8816,4
snowy,313,63
snowy,240,41
rainy,4804,61
rainy,5891,65
rainy,2882,65
rainy,8211,76
rainy,1529,80
snowy,2239,24
windy,2495,56
sunny,4826,43
windy,98,37
windy,9653,29
sunny,3604,21
rainy,664,92
rainy,5160,68
rainy,2706,67
sunny,7955,50
rainy,9776,53
sunny,8619,36
rainy,693,94
windy,2838,32
windy,3512,42
windy,9021,48
rainy,1536,82
rainy,3229,38
sunny,7492,64
sunny,8128,24
rainy,1728,89
windy,2255,39
windy,1211,25
sunny,2024,20
snowy,5901,64
sunny,926,22
snowy,7895,73
rainy,9814,72
sunny,4265,55
sunny,9444,33
snowy,4661,54
rainy,7971,59
rainy,3156,70
snowy,2618,71
rainy,7440,84
sunny,5871,28
windy,3971,31
snowy,4057,74
rainy,3569,56
rainy,8,62
windy,4869,36
snowy,6814,32
snowy,5284,74
windy,7101,33
snowy,3438,66
rainy,3952,63
windy,4748,15
snowy,4177,79
rainy,3699,74
sunny,4468,12
sunny,2244,30
windy,8602,45
rainy,6092,95
windy,3839,36
snowy,4453,65
sunny,2162,61
windy,6153,49
sunny,3410,27
sunny,9867,41
windy,3257,38
windy,2841,52
sunny,3632,40
snowy,7407,36
windy,6653,43
snowy,5148,70
rainy,2294,25
windy,5342,32
snowy,3393,68
snowy,7945,60
sunny,8143,17
sunny,2283,35
rainy,7143,61
windy,3982,26
rainy,6269,99
snowy,324,25
rainy,5339,64
windy,4772,67
windy,6763,46
snowy,7799,62
sunny,961,36
snowy,6379,73
snowy,7768,77
rainy,9322,71
snowy,7698,71
snowy,2239,42
snowy,6142,70
rainy,5744,36
sunny,5604,5
rainy,464,77
sunny,9059,33
rainy,6105,75
windy,6103,25
windy,2656,44
rainy,7247,60
snowy,5464,83
snowy,6721,47
sunny,9443,36
rainy,3307,96
snowy,6999,76
sunny,611,35
rainy,6363,83
sunny,287,39
snowy,8530,59
sunny,9778,36
rainy,2694,78
snowy,6580,91
rainy,84,60
windy,5833,43
rainy,8313,82
sunny,8368,37
snowy,1802,63
windy,6324,44
sunny,8003,16
rainy,9505,102
sunny,9461,38
sunny,793,42
sunny,1289,38
sunny,10052,27
windy,6727,23
snowy,9951,52
snowy,9812,54
snowy,8152,50
windy,1573,46
windy,5779,31
snowy,9700,40
windy,6939,66
windy,3038,33
sunny,7314,29
windy,1555,16
windy,507,54
sunny,915,48
sunny,247,42
sunny,8760,32
snowy,804,65
rainy,9750,61
rainy,3303,79
snowy,9395,72
windy,6951,33
windy,66,54
snowy,6882,72
windy,4286,34
snowy,8869,57
sunny,2054,23
sunny,8661,35
rainy,3643,60
rainy,9307,92
sunny,6176,6
sunny,703,8
rainy,6452,74
snowy,7009,61
rainy,2997,86
snowy,8913,58
rainy,9655,65
windy,4574,49
rainy,1538,97
sunny,4547,23
sunny,2962,17
snowy,8200,78
snowy,3826,38
windy,4520,43
rainy,3147,79
sunny,6140,39
sunny,2733,18
sunny,8960,41
windy,10073,47
sunny,9927,0
rainy,3385,78
snowy,9736,51
snowy,9548,69
windy,8578,67
windy,3273,32
windy,2007,4
windy,3445,18
snowy,9246,74
rainy,2015,79
rainy,8428,100
snowy,9340,48
windy,2862,23
windy,2175,49
snowy,7646,53
windy,2254,31
snowy,7975,75
windy,282,47
sunny,8311,24
windy,6603,22
sunny,9384,19
rainy,7406,90
rainy,9113,80
sunny,747,70
windy,2727,30
windy,8517,71
rainy,3714,96
sunny,3771,25
rainy,7282,73
rainy,4985,72
rainy,67,56
windy,1604,31
rainy,4011,85
rainy,154,93
windy,1013,27
rainy,1382,106
snowy,2260,52
sunny,2705,38
windy,5315,37
windy,6444,42
snowy,1260,85
sunny,1722,67
snowy,2871,73
windy,1940,43
sunny,3080,46
windy,2263,12
rainy,4522,90
